Time,Latitude,Longitude,Altitude,Easting,Northing,Zone,Letter
64405,42.338231666666665,8.76053,10.0,480273.02980699425,4687358.575413778,32,T
64405,42.338231666666665,8.76053,10.0,480273.02980699425,4687358.575413778,32,T
64405,42.338231666666665,8.76053,10.0,480273.02980699425,4687358.575413778,32,T
64406,42.338235,8.760516666666668,9.4,480271.9324799635,4687358.948624116,32,T
64406,42.338235,8.760516666666668,9.4,480271.9324799635,4687358.948624116,32,T
64406,42.338235,8.760516666666668,9.4,480271.9324799635,4687358.948624116,32,T
64407,42.33823666666667,8.760506666666666,9.2,480271.1092242724,4687359.136002387,32,T
64407,42.33823666666667,8.760506666666666,9.2,480271.1092242724,4687359.136002387,32,T
64407,42.33823666666667,8.760506666666666,9.2,480271.1092242724,4687359.136002387,32,T
64408,42.33824,8.76049,10.0,480269.73730522644,4687359.5099861175,32,T
64408,42.33824,8.76049,10.0,480269.73730522644,4687359.5099861175,32,T
64408,42.33824,8.76049,10.0,480269.73730522644,4687359.5099861175,32,T
64408,42.33824,8.76049,10.0,480269.73730522644,4687359.5099861175,32,T
64408,42.33824,8.76049,10.0,480269.73730522644,4687359.5099861175,32,T
64408,42.33824,8.76049,10.0,480269.73730522644,4687359.5099861175,32,T
64409,42.33824166666667,8.760478333333333,10.7,480268.7767535613,4687359.69775121,32,T
64409,42.33824166666667,8.760478333333333,10.7,480268.7767535613,4687359.69775121,32,T
64409,42.33824166666667,8.760478333333333,10.7,480268.7767535613,4687359.69775121,32,T
64410,42.33824833333333,8.76047,11.0,480268.0923573315,4687360.43992085,32,T
64410,42.33824833333333,8.76047,11.0,480268.0923573315,4687360.43992085,32,T
64410,42.33824833333333,8.76047,11.0,480268.0923573315,4687360.43992085,32,T
64411,42.338253333333334,8.760458333333332,11.3,480267.13284801785,4687360.997804557,32,T
64411,42.338253333333334,8.760458333333332,11.3,480267.13284801785,4687360.997804557,32,T
64411,42.338253333333334,8.760458333333332,11.3,480267.13284801785,4687360.997804557,32,T
64412,42.33826,8.760441666666667,11.5,480265.7619717984,4687361.741907454,32,T
64412,42.33826,8.760441666666667,11.5,480265.7619717984,4687361.741907454,32,T
64412,42.33826,8.760441666666667,11.5,480265.7619717984,4687361.741907454,32,T
64413,42.338271666666664,8.760416666666666,11.3,480263.7061791946,4687363.0431215055,32,T
64413,42.338271666666664,8.760416666666666,11.3,480263.7061791946,4687363.0431215055,32,T
64413,42.338271666666664,8.760416666666666,11.3,480263.7061791946,4687363.0431215055,32,T
64413,42.338271666666664,8.760416666666666,11.3,480263.7061791946,4687363.0431215055,32,T
64413,42.338271666666664,8.760416666666666,11.3,480263.7061791946,4687363.0431215055,32,T
64413,42.338271666666664,8.760416666666666,11.3,480263.7061791946,4687363.0431215055,32,T
64414,42.33828,8.760398333333333,11.2,480262.1985289408,4687363.972670968,32,T
64414,42.33828,8.760398333333333,11.2,480262.1985289408,4687363.972670968,32,T
64414,42.33828,8.760398333333333,11.2,480262.1985289408,4687363.972670968,32,T
64415,42.33828833333333,8.760381666666667,11.0,480260.8281750817,4687364.901834033,32,T
64415,42.33828833333333,8.760381666666667,11.0,480260.8281750817,4687364.901834033,32,T
64415,42.33828833333333,8.760381666666667,11.0,480260.8281750817,4687364.901834033,32,T
64416,42.338298333333334,8.760345000000001,9.6,480257.8107911804,4687366.020697755,32,T
64416,42.338298333333334,8.760345000000001,9.6,480257.8107911804,4687366.020697755,32,T
64416,42.338298333333334,8.760345000000001,9.6,480257.8107911804,4687366.020697755,32,T
64417,42.33831,8.760316666666666,8.6,480255.48040940135,4687367.322687804,32,T
64417,42.33831,8.760316666666666,8.6,480255.48040940135,4687367.322687804,32,T
64417,42.33831,8.760316666666666,8.6,480255.48040940135,4687367.322687804,32,T
64418,42.33832,8.760298333333333,8.1,480253.97328259057,4687368.437298247,32,T
64418,42.33832,8.760298333333333,8.1,480253.97328259057,4687368.437298247,32,T
64418,42.33832,8.760298333333333,8.1,480253.97328259057,4687368.437298247,32,T
64418,42.33832,8.760298333333333,8.1,480253.97328259057,4687368.437298247,32,T
64418,42.33832,8.760298333333333,8.1,480253.97328259057,4687368.437298247,32,T
64418,42.33832,8.760298333333333,8.1,480253.97328259057,4687368.437298247,32,T
64419,42.33832666666667,8.760283333333334,7.6,480252.73970512935,4687369.181016855,32,T
64419,42.33832666666667,8.760283333333334,7.6,480252.73970512935,4687369.181016855,32,T
64419,42.33832666666667,8.760283333333334,7.6,480252.73970512935,4687369.181016855,32,T
64420,42.33833333333333,8.760268333333332,7.4,480251.5061279273,4687369.92473568,32,T
64420,42.33833333333333,8.760268333333332,7.4,480251.5061279273,4687369.92473568,32,T
64420,42.33833333333333,8.760268333333332,7.4,480251.5061279273,4687369.92473568,32,T
64421,42.338341666666665,8.76025,7.4,480249.998480764,4687370.854287789,32,T
64421,42.338341666666665,8.76025,7.4,480249.998480764,4687370.854287789,32,T
64421,42.338341666666665,8.76025,7.4,480249.998480764,4687370.854287789,32,T
64422,42.338348333333336,8.76023,7.1,480248.3530165476,4687371.599167995,32,T
64422,42.338348333333336,8.76023,7.1,480248.3530165476,4687371.599167995,32,T
64422,42.338348333333336,8.76023,7.1,480248.3530165476,4687371.599167995,32,T
64423,42.33835833333333,8.760215,7.6,480247.1204834762,4687372.713005994,32,T
64423,42.33835833333333,8.760215,7.6,480247.1204834762,4687372.713005994,32,T
64423,42.33835833333333,8.760215,7.6,480247.1204834762,4687372.713005994,32,T
64423,42.33835833333333,8.760215,7.6,480247.1204834762,4687372.713005994,32,T
64423,42.33835833333333,8.760215,7.6,480247.1204834762,4687372.713005994,32,T
64423,42.33835833333333,8.760215,7.6,480247.1204834762,4687372.713005994,32,T
64424,42.338368333333335,8.760198333333333,8.1,480245.7506549749,4687373.827231232,32,T
64424,42.338368333333335,8.760198333333333,8.1,480245.7506549749,4687373.827231232,32,T
64424,42.338368333333335,8.760198333333333,8.1,480245.7506549749,4687373.827231232,32,T
64425,42.33837666666667,8.760181666666666,8.4,480244.38030521537,4687374.756397543,32,T
64425,42.33837666666667,8.760181666666666,8.4,480244.38030521537,4687374.756397543,32,T
64425,42.33837666666667,8.760181666666666,8.4,480244.38030521537,4687374.756397543,32,T
64426,42.33838333333333,8.760168333333333,8.7,480243.28402566945,4687375.499730786,32,T
64426,42.33838333333333,8.760168333333333,8.7,480243.28402566945,4687375.499730786,32,T
64426,42.33838333333333,8.760168333333333,8.7,480243.28402566945,4687375.499730786,32,T
64427,42.338388333333334,8.760153333333333,8.8,480242.0499288233,4687376.0583920935,32,T
64427,42.338388333333334,8.760153333333333,8.8,480242.0499288233,4687376.0583920935,32,T
64427,42.338388333333334,8.760153333333333,8.8,480242.0499288233,4687376.0583920935,32,T
64428,42.338393333333336,8.760136666666666,9.1,480240.67853640544,4687376.617440738,32,T
64428,42.338393333333336,8.760136666666666,9.1,480240.67853640544,4687376.617440738,32,T
64428,42.338393333333336,8.760136666666666,9.1,480240.67853640544,4687376.617440738,32,T
64428,42.338393333333336,8.760136666666666,9.1,480240.67853640544,4687376.617440738,32,T
64428,42.338393333333336,8.760136666666666,9.1,480240.67853640544,4687376.617440738,32,T
64428,42.338393333333336,8.760136666666666,9.1,480240.67853640544,4687376.617440738,32,T
64429,42.33839833333333,8.760125,9.3,480239.71903147735,4687377.175328226,32,T
64429,42.33839833333333,8.760125,9.3,480239.71903147735,4687377.175328226,32,T
64429,42.33839833333333,8.760125,9.3,480239.71903147735,4687377.175328226,32,T
64430,42.33840333333333,8.760110000000001,9.6,480238.4849352078,4687377.733990166,32,T
64430,42.33840333333333,8.760110000000001,9.6,480238.4849352078,4687377.733990166,32,T
64430,42.33840333333333,8.760110000000001,9.6,480238.4849352078,4687377.733990166,32,T
64431,42.33841,8.760093333333334,9.9,480237.1140652852,4687378.478098711,32,T
64431,42.33841,8.760093333333334,9.9,480237.1140652852,4687378.478098711,32,T
64431,42.33841,8.760093333333334,9.9,480237.1140652852,4687378.478098711,32,T
64432,42.33841833333334,8.760075,10.2,480235.60642186203,4687379.40765394,32,T
64432,42.33841833333334,8.760075,10.2,480235.60642186203,4687379.40765394,32,T
64432,42.33841833333334,8.760075,10.2,480235.60642186203,4687379.40765394,32,T
64433,42.33842666666666,8.760056666666667,10.4,480234.09877883585,4687380.337209496,32,T
64433,42.33842666666666,8.760056666666667,10.4,480234.09877883585,4687380.337209496,32,T
64433,42.33842666666666,8.760056666666667,10.4,480234.09877883585,4687380.337209496,32,T
64433,42.33842666666666,8.760056666666667,10.4,480234.09877883585,4687380.337209496,32,T
64433,42.33842666666666,8.760056666666667,10.4,480234.09877883585,4687380.337209496,32,T
64433,42.33842666666666,8.760056666666667,10.4,480234.09877883585,4687380.337209496,32,T
64434,42.338433333333334,8.76004,10.6,480232.72790988535,4687381.081318905,32,T
64434,42.338433333333334,8.76004,10.6,480232.72790988535,4687381.081318905,32,T
64434,42.338433333333334,8.76004,10.6,480232.72790988535,4687381.081318905,32,T
64435,42.338438333333336,8.760023333333333,10.9,480231.35651918635,4687381.640369383,32,T
64435,42.338438333333336,8.760023333333333,10.9,480231.35651918635,4687381.640369383,32,T
64435,42.338438333333336,8.760023333333333,10.9,480231.35651918635,4687381.640369383,32,T
64436,42.338445,8.760006666666666,11.1,480229.98565077985,4687382.384479331,32,T
64436,42.338445,8.760006666666666,11.1,480229.98565077985,4687382.384479331,32,T
64436,42.338445,8.760006666666666,11.1,480229.98565077985,4687382.384479331,32,T
64437,42.33844833333333,8.759993333333334,11.4,480228.8883297391,4687382.757696442,32,T
64437,42.33844833333333,8.759993333333334,11.4,480228.8883297391,4687382.757696442,32,T
64437,42.33844833333333,8.759993333333334,11.4,480228.8883297391,4687382.757696442,32,T
64438,42.338455,8.759983333333334,11.6,480228.06664434785,4687383.500257391,32,T
64438,42.338455,8.759983333333334,11.6,480228.06664434785,4687383.500257391,32,T
64438,42.338455,8.759983333333334,11.6,480228.06664434785,4687383.500257391,32,T
64438,42.338455,8.759983333333334,11.6,480228.06664434785,4687383.500257391,32,T
64438,42.338455,8.759983333333334,11.6,480228.06664434785,4687383.500257391,32,T
64438,42.338455,8.759983333333334,11.6,480228.06664434785,4687383.500257391,32,T
